id,title,release_date,popularity,vote_average,vote_count,genre_ids,overview,original_language,release_year
361743,Top Gun: Maverick,2022-05-21,32.3931,8.153,10831,"[28, 18]","After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",en,2022
1233413,Sinners,2025-04-16,27.6026,7.5,4425,"[27, 28, 53]","Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",en,2025
950396,The Gorge,2025-02-13,29.2949,7.615,3633,"[10749, 878, 53]","Two highly trained operatives grow close from a distance after being sent to guard opposite sides of a mysterious gorge. When an evil below emerges, they must work together to survive what lies within.",en,2025
1246049,Dracula,2025-07-30,30.6173,7.099,1136,"[27, 14, 10749]","In late 15th-century Eastern Europe, Prince Vlad II’s bride is brutally murdered. As a result, he renounces God and damns Heaven itself. Cursed with eternal life, Vlad is reborn as Dracula, an immortal warlord who defies fate in a blood-soaked crusade to wrench his lost love back from death.",fr,2025
798645,The Running Man,2025-11-11,29.2208,6.757,1449,"[28, 53, 878]","Desperate to save his sick daughter, working-class Ben Richards is convinced by The Running Man's charming but ruthless producer to enter the deadly competition game as a last resort. But Ben's defiance, instincts, and grit turn him into an unexpected fan favorite — and a threat to the entire system. As ratings skyrocket, so does the danger, and Ben must outwit not just the Hunters, but a nation addicted to watching him fall.",en,2025
27205,Inception,2010-07-15,30.1681,8.372,39119,"[28, 878, 12]","Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",en,2010
1480387,undertone,2026-03-12,27.8677,6.454,130,"[27, 9648]",The host of a popular paranormal podcast becomes haunted by terrifying recordings mysteriously sent her way.,en,2026
1061474,Superman,2025-07-09,28.9229,7.339,4677,"[878, 12, 28]","Superman, a journalist in Metropolis, embarks on a journey to reconcile his Kryptonian heritage with his human upbringing as Clark Kent.",en,2025
13,Forrest Gump,1994-06-23,30.1915,8.464,29638,"[35, 18, 10749]","A man with a low IQ has accomplished great things in his life and been present during significant historic events—in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",en,1994
497,The Green Mile,1999-12-10,29.9755,8.504,19171,"[14, 18, 80]","A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",en,1999
